,average_act
78,22.7167277167277
6455,19.957264957265
7206,20.1770451770452
5018,22.0
3204,20.7
233,20.6166056166056
572,20.8608058608059
7343,21.1782661782662
7202,23.6446886446886
4421,21.6422466422466
5680,21.959706959707
2635,16.6
615,22.4725274725275
4511,17.8327228327228
2177,20.9
2447,21.4468864468864
5552,19.4688644688645
6603,14.0720390720391
3499,19.1
6450,24.3284493284493
193,20.1037851037851
5544,20.4212454212454
6683,19.6642246642247
2721,19.6
6408,21.4468864468864
2683,19.3
1168,18.8
5878,22.6678876678877
4033,16.1477411477411
5298,21.0
5390,16.6849816849817
7221,17.1978021978022
6637,20.3724053724054
2621,17.6
1900,17.7
6244,19.8
2522,23.0830280830281
6567,21.3980463980464
6627,21.3736263736264
6315,19.4444444444444
6339,22.7899877899878
6184,18.7
7295,21.7887667887668
595,18.2234432234432
483,16.3186813186813
3346,21.2
2757,20.1
2228,20.7
1220,18.8
7808,21.6
7152,20.5677655677656
4155,19.1025641025641
2134,18.2
3004,22.0
6802,24.5726495726496
7944,22.2
6941,21.8376068376068
5829,14.5115995115995
7042,18.8583638583639
2477,23.4981684981685
7804,23.3
5535,20.6654456654457
686,17.2954822954823
7437,18.6385836385836
3799,22.7655677655678
3533,15.5616605616606
5505,21.3247863247863
6910,19.1514041514042
6845,20.006105006105
1065,14.8
20,15.5714285714286
4710,16.0
120,14.6825396825397
7480,22.0818070818071
6105,17.8
2077,19.3
5808,13.8522588522589
1633,19.5103785103785
1754,20.2014652014652
807,17.2954822954823
5235,22.0
1478,21.0927960927961
6493,20.1770451770452
4760,16.0
1191,19.1
7421,21.8864468864469
7928,21.4
1162,19.6
67,17.2466422466422
4510,22.0573870573871
5856,19.7619047619048
1046,19.0
239,22.2771672771673
5870,21.8620268620269
2931,20.0
1885,17.7
5863,22.2283272283272
3157,18.4
2436,23.6202686202686
1163,22.9
6472,16.5140415140415
2001,18.4
1879,18.9
6587,16.7338217338217
2701,21.3
4628,21.4957264957265
2294,22.1306471306471
2905,19.1
4373,19.6886446886447
86,23.3028083028083
2079,20.3
4244,20.8363858363858
6296,19.2
757,18.3699633699634
2547,26.8681318681319
2702,21.2
4042,17.3443223443223
6268,20.8
6087,18.8
7256,21.007326007326
1408,19.9
5520,20.3479853479853
2000,19.3
7858,23.6
64,21.5201465201465
3796,15.5128205128205
1897,21.3
4520,22.0573870573871
7317,22.7411477411477
4661,20.4212454212454
912,22.6
3872,27.2588522588523
6386,21.5689865689866
376,20.9340659340659
7474,23.4493284493284
1222,22.8
3506,22.0
4161,16.2942612942613
3178,20.1
2411,25.1098901098901
7980,19.0
7972,14.9
783,23.2783882783883
4093,16.2454212454212
47,25.8424908424908
1031,17.9
1643,20.5726495726496
4057,17.6862026862027
29,22.6678876678877
7879,23.9
3462,24.9
3302,21.5
4275,19.4200244200244
1667,21.3711843711844
2200,19.4
1720,19.8327228327228
3761,21.4713064713065
6030,17.7
247,21.959706959707
4454,18.1013431013431
6676,17.1978021978022
576,24.035409035409
7104,21.3492063492064
6849,17.3443223443223
5316,21.0
6198,18.1
7223,22.3992673992674
3279,20.6
531,22.6678876678877
879,17.7
7958,19.5
2848,20.8
2693,19.4
1513,20.7484737484737
7691,23.3
2097,17.4
6851,20.3235653235653
2050,20.1
1188,22.4
4526,20.7875457875458
4590,17.3443223443223
1726,16.8730158730159
4354,18.0525030525031
1411,21.9
2284,21.6178266178266
4535,21.6178266178266
6050,19.2
39,22.032967032967
7165,20.6410256410256
5954,20.8119658119658
877,20.4
793,20.3724053724054
4295,20.958485958486
359,15.3174603174603
3650,21.8864468864469
7827,22.7
6687,21.2515262515263
7897,22.4
2227,19.1
4456,23.5958485958486
3435,24.8
1328,21.7
133,18.1990231990232
4183,20.006105006105
3804,23.2539682539683
899,19.1
